X,Y,Z,MaximumInscribedSphereRadius
32.8099784851,4.21388626099,35.6059379578,1.99388742606
32.8040618896,4.28453540802,35.5824165344,2.00073924274
32.7933197021,4.40420055389,35.5408554077,2.00767883587
32.7855987549,4.49429178238,35.5056838989,2.01438108682
32.7797355652,4.58795690536,35.4686737061,2.02009101438
32.7712211609,4.6834359169,35.4362220764,2.02553596631
32.7597465515,4.77753400803,35.403629303,2.03038917277
32.7531814575,4.8705406189,35.367099762,2.03342387148
32.7415466309,4.96369886398,35.3320350647,2.03500763845
32.7295036316,5.05730772018,35.2981872559,2.03620114621
32.7192230225,5.15044164658,35.2627677917,2.0371550291
32.7106819153,5.24302577972,35.2255020142,2.03754785358
32.7035865784,5.33586168289,35.1885795593,2.03731954419
32.6971054077,5.42583274841,35.1448898315,2.03492519548
32.6972198486,5.51506710052,35.0992012024,2.03226498523
32.69947052,5.6047372818,35.0546989441,2.0282564429
32.6971855164,5.69490385056,35.010974884,2.0239234539
32.6979179382,5.78346681595,34.9641647339,2.02187780505
32.6955871582,5.87323713303,34.9196968079,2.02236056569
32.6929855347,5.96318531036,34.8755874634,2.02284332632
32.6937713623,6.05194568634,34.8292045593,2.02390645569
32.6931877136,6.14204263687,34.7853927612,2.02527820338
32.6921005249,6.23377847672,34.7449226379,2.02664995107
32.6949424744,6.32588100433,34.7055854797,2.02783259765
32.6981925964,6.41843700409,34.6673698425,2.02883699667
32.7009658813,6.51096010208,34.6290817261,2.03007809298
32.7038230896,6.60243654251,34.5884094238,2.02991589043
32.7103729248,6.69389915466,34.5481681824,2.02825370772
32.7190208435,6.78270196915,34.5027008057,2.02450996786
32.7281074524,6.87119197845,34.4567527771,2.019130484
32.740814209,6.9569606781,34.4064445496,2.01416407304
32.7496452332,7.04470682144,34.3590431213,2.00892628369
32.7619361877,7.13013982773,34.3080062866,2.0047940778
32.7700004578,7.21619367599,34.2572364807,2.00151497784
32.7767066956,7.30446815491,34.2103805542,1.99843971842
32.7834587097,7.39426183701,34.1665306091,1.99804466748
32.7873458862,7.48138141632,34.1173324585,1.99879816152
32.7905464172,7.56706809998,34.065322876,1.99955165556
32.7960700989,7.6534318924,34.0147972107,2.00092195693
32.8033599854,7.74102449417,33.9667282104,2.00412230649
32.8070220947,7.82828950882,33.9175987244,2.00702086583
32.809009552,7.91700792313,33.871131897,2.01001984025
32.813129425,8.00571155548,33.8248062134,2.01336595976
32.8201942444,8.09154415131,33.7734909058,2.01637380247
32.8264694214,8.17470359802,33.7180099487,2.01537903781
32.8342170715,8.25639057159,33.6605377197,2.01345199425
32.8450126648,8.33795547485,33.6033821106,2.01376628641
32.8560295105,8.41944980621,33.5461654663,2.01408057857
32.8645896912,8.49980258942,33.4868621826,2.01437989885
32.8740653992,8.57981681824,33.4273147583,2.01467725609
32.8891639709,8.66076660156,33.3703041077,2.01687719782
32.9033660889,8.74125003815,33.3125038147,2.02052289815
32.9115524292,8.82022476196,33.2513427734,2.02445905131
32.9201011658,8.89942646027,33.1905250549,2.02839520448
32.9335746765,8.97989654541,33.132396698,2.03524745363
32.9463157654,9.05907344818,33.0722732544,2.04215172755
32.9571609497,9.13571166992,33.008644104,2.04905600146
32.9682502747,9.2103099823,32.94272995,2.05633537166
32.9853973389,9.28375434875,32.8767127991,2.06332501831
33.0059623718,9.35580253601,32.8101081848,2.06884302793
33.0257987976,9.42458820343,32.7400932312,2.06954398804
33.0464630127,9.49075889587,32.6676940918,2.06980841448
33.0707855225,9.5562915802,32.595790863,2.07186531059
33.0946731567,9.61965370178,32.5219993591,2.07392220669
33.1155548096,9.68053627014,32.4453010559,2.07727576229
33.1402168274,9.74410533905,32.3719329834,2.08228577049
33.1658706665,9.80928897858,32.3001403809,2.08729577868
33.1891212463,9.87434577942,32.2274665833,2.09267190239
33.212272644,9.93747997284,32.1532325745,2.09822246544
33.2390136719,9.99792480469,32.0779304504,2.1046554575
33.2652397156,10.0603818893,32.0039863586,2.11245346464
33.298614502,10.1258201599,31.9360141754,2.11829242024
33.3316307068,10.1911468506,31.8676567078,2.12142174712
33.3634529114,10.2532634735,31.7956829071,2.12444036415
33.402217865,10.3145399094,31.7266025543,2.12665107756
33.4407234192,10.3741636276,31.6558952332,2.12962383226
33.4765739441,10.431596756,31.582069397,2.13201341114
33.5026855469,10.4876976013,31.503282547,2.13088161639
