X,Y,Z,MaximumInscribedSphereRadius
36.4683151245,8.93763160706,29.2268371582,1.59178337399
36.4532661438,9.03478527069,29.2468185425,1.58906968128
36.4409332275,9.13160514832,29.2685775757,1.58404501387
36.4288101196,9.22869873047,29.2895355225,1.58144415989
36.4177398682,9.32693958282,29.3051948547,1.57939361632
36.4096641541,9.42517948151,29.3230895996,1.57522196254
36.4002227783,9.522356987,29.3453540802,1.57395848735
36.3908691406,9.6198425293,29.3659305573,1.57224189469
36.3827209473,9.71822357178,29.3829250336,1.5704708478
36.37342453,9.8154964447,29.4049530029,1.56960386937
36.3648796082,9.91255092621,29.4282398224,1.56801113589
36.3540306091,10.0102815628,29.447221756,1.56753295157
36.3446464539,10.107632637,29.4687519073,1.56605566127
36.3351325989,10.2049226761,29.4905452728,1.5648692449
36.3249282837,10.3026838303,29.5097694397,1.56555782146
36.3175086975,10.40092659,29.5277004242,1.56474071597
36.3104057312,10.4989290237,29.547203064,1.56449894716
36.3030700684,10.5968084335,29.5670661926,1.56570226814
36.2996940613,10.6957778931,29.5819015503,1.56677657257
36.2964096069,10.7942609787,29.5997447968,1.5684044349
36.2951202393,10.8930969238,29.6159362793,1.56985220588
36.2949752808,10.991689682,29.6335830688,1.57138565012
36.2947044373,11.0902004242,29.6509208679,1.57467505741
36.2952804565,11.189409256,29.6650333405,1.5784147305
36.2997398376,11.2878389359,29.6829414368,1.58320046556
36.3028488159,11.3866968155,29.6985569,1.58809012727
36.3089065552,11.4849100113,29.7173614502,1.59242374866
36.3157691956,11.5835571289,29.7332954407,1.59830091406
36.321723938,11.6821136475,29.7500190735,1.6042420114
36.3270759583,11.7805538177,29.7675933838,1.61043299755
36.3317489624,11.8794965744,29.7820568085,1.61797724152
36.3350563049,11.9776563644,29.8019561768,1.62604140115
36.3400497437,12.0763940811,29.8188152313,1.6345699794
36.3444519043,12.1759853363,29.8283672333,1.64311497197
36.3467636108,12.2755718231,29.8376541138,1.65025220327
36.3515663147,12.3745145798,29.8538761139,1.65773571623
36.3536071777,12.4744052887,29.8593330383,1.6643966257
36.3547897339,12.5742530823,29.8669052124,1.66912271842
36.3545074463,12.6743249893,29.8709392548,1.67401720205
36.3505821228,12.7741212845,29.8787727356,1.68015557223
36.3465538025,12.8740205765,29.8817634583,1.68585461199
36.3435974121,12.9740686417,29.8838825226,1.69204361513
36.338394165,13.0738830566,29.8915653229,1.69867160735
36.3298721313,13.173623085,29.893579483,1.70606636635
36.3238639832,13.2734212875,29.8991527557,1.71109940487
36.3162002563,13.3732414246,29.9023799896,1.71772825184
36.3051528931,13.4727277756,29.904794693,1.7256900476
36.2936706543,13.5716953278,29.9152965546,1.73250294425
36.2800292969,13.6708059311,29.9211120605,1.74012327756
36.2654838562,13.769906044,29.9204826355,1.7476534666
36.2488212585,13.8684463501,29.9272975922,1.75325035404
36.2319602966,13.9669818878,29.9320774078,1.75901837183
36.214969635,14.0656766891,29.9290218353,1.76526781452
36.195110321,14.163772583,29.9322490692,1.77065936432
36.1766166687,14.2622022629,29.9291954041,1.77432276783
36.1615753174,14.3609781265,29.921628952,1.77656648247
36.145942688,14.4593706131,29.9112930298,1.77830033479
36.1262741089,14.5566339493,29.8975830078,1.77938920301
36.1136207581,14.6548376083,29.8826999664,1.77644527157
36.0946807861,14.7509803772,29.8621006012,1.77241158028
36.0785560608,14.8468103409,29.8378067017,1.76912443424
36.0594558716,14.9409275055,29.8094329834,1.76633684852
36.0436935425,15.0363521576,29.7831764221,1.76416848413
36.0277404785,15.130736351,29.7539844513,1.76196478087
36.0075721741,15.2224855423,29.7189826965,1.76066368538
35.9913635254,15.3142757416,29.6824836731,1.76085649939
35.979637146,15.4051151276,29.6420726776,1.75471025066
35.9663314819,15.4939479828,29.5976276398,1.75001176535
35.9543037415,15.5810003281,29.5496330261,1.74716207621
35.9388771057,15.6660337448,29.4990062714,1.74649304286
35.9217414856,15.753153801,29.4526729584,1.74621137595
35.9079475403,15.8392887115,29.4035015106,1.7463417433
35.8928527832,15.9238739014,29.3520069122,1.74679646301
35.8758583069,16.0053157806,29.2963085175,1.74809767346
35.8590774536,16.0835285187,29.236000061,1.74900949688
35.8501815796,16.1619243622,29.1742572784,1.74699885004
35.8435058594,16.2344055176,29.1055049896,1.74291203151
35.8337593079,16.3074073792,29.0376834869,1.73788197012
35.8277053833,16.3790149689,28.9678344727,1.7345326431
35.8177185059,16.4508361816,28.898645401,1.73367171796
35.8077163696,16.5184440613,28.8255176544,1.73296498008
35.7959632874,16.5876121521,28.7540817261,1.73281954626
35.7843093872,16.6597175598,28.6854114532,1.73267411244
35.7759895325,16.7308998108,28.6154537201,1.73182159299
35.767250061,16.7975978851,28.5412406921,1.7302692659
35.7616348267,16.8673629761,28.4694271088,1.72842925259
35.7528495789,16.9360237122,28.3967323303,1.72689591183
35.7445259094,16.9964618683,28.3176174164,1.72446878984
35.7402992249,17.0511112213,28.2337341309,1.71988197544
35.7418670654,17.107749939,28.1511745453,1.71731348633
35.7432899475,17.1615715027,28.0667266846,1.71481883033
35.7381782532,17.2093238831,27.9788608551,1.70877660618
35.7340278625,17.2615089417,27.8934707642,1.70262143683
35.7276535034,17.3084526062,27.8052558899,1.6952160525
35.7176513672,17.3513336182,27.7153358459,1.68764938307
35.7177314758,17.3963947296,27.6258392334,1.67932331975
35.7191734314,17.4354381561,27.5337257385,1.66974947564
35.7127113342,17.4737148285,27.4413719177,1.66040711481
35.7131500244,17.5054607391,27.3464374542,1.65176861195
35.7140083313,17.5416107178,27.2529697418,1.64897964769
35.710899353,17.5778827667,27.1595611572,1.64619068343
35.7048187256,17.6163787842,27.0672340393,1.64340171917
35.6971969604,17.658870697,26.9768371582,1.64423141173
35.6945457458,17.7027072906,26.8868942261,1.64866622355
35.6978149414,17.7445259094,26.7958431244,1.65375091025
35.7014961243,17.7826976776,26.7032260895,1.65883559695
35.701210022,17.8183078766,26.6096324921,1.66449788756
35.700504303,17.8583946228,26.5178413391,1.67092544859
35.7031898499,17.8950271606,26.4246559143,1.6786303106
35.7029380798,17.9343986511,26.3326053619,1.68702174948
