X,Y,Z,MaximumInscribedSphereRadius
56.9675598145,4.07899332047,62.9062309265,2.03058131275
56.9627418518,4.17343473434,62.9365844727,2.03580188592
56.9570541382,4.26825284958,62.9645347595,2.03738496943
56.952999115,4.36730146408,62.9915313721,2.03881290388
56.9515953064,4.46279144287,63.0186195374,2.04013279445
56.9502792358,4.55840110779,63.0468215942,2.0411183766
56.9503669739,4.65495920181,63.0730743408,2.0418693657
56.9476127625,4.75158262253,63.0988616943,2.04198222723
56.9478149414,4.84842538834,63.1237106323,2.04255542893
56.9513778687,4.9452252388,63.1485824585,2.04313867623
56.954662323,5.04197645187,63.1734809875,2.04182792014
56.9525947571,5.13965845108,63.1950187683,2.04174565395
56.9510383606,5.2369966507,63.2179336548,2.04166338777
56.9513511658,5.33405351639,63.2419624329,2.04070857735
56.9496879578,5.43177604675,63.2631568909,2.03960080939
56.9459457397,5.52993297577,63.2820167542,2.03921713912
56.9414596558,5.62767839432,63.3026161194,2.03852001433
56.9401664734,5.72627925873,63.3196983337,2.03739189801
56.9365310669,5.82430744171,63.3391151428,2.0362053206
56.9310455322,5.92305088043,63.3540763855,2.03415202544
56.928237915,6.02175617218,63.3693618774,2.03396890966
56.9290885925,6.12059020996,63.3835868835,2.03323136137
56.9263725281,6.21955347061,63.3991699219,2.03179516082
56.9246025085,6.31871652603,63.4126091003,2.03025259874
56.9233398438,6.41798782349,63.4252929688,2.02885600865
56.9269943237,6.51704263687,63.4384651184,2.02746228208
56.9285850525,6.61630630493,63.4504890442,2.02535973108
56.930480957,6.71581172943,63.4606208801,2.02324404834
56.9320716858,6.81488323212,63.4741592407,2.02050114608
56.9361038208,6.91429662704,63.4845046997,2.0184059375
56.9430847168,7.0133728981,63.4962615967,2.01584118795
56.9478645325,7.11266946793,63.5071792603,2.012044868
56.9539718628,7.21153783798,63.5210151672,2.01010417249
56.9608573914,7.31040668488,63.5342826843,2.00655072525
56.9697341919,7.40930175781,63.5460624695,2.00270935138
56.9783172607,7.5079536438,63.560295105,1.99958247302
56.9850616455,7.60598707199,63.5788650513,1.99537363548
56.9957733154,7.70434045792,63.593837738,1.99080934804
57.004535675,7.80322599411,63.6057739258,1.98600269612
57.0127182007,7.90154314041,63.6221733093,1.98072434617
57.0190811157,8.00071334839,63.6335067749,1.97571902183
57.0273094177,8.09914970398,63.6491355896,1.97218743186
57.0345611572,8.198138237,63.6613502502,1.96848102877
57.0415534973,8.29734039307,63.6715354919,1.96547185799
57.0519104004,8.39602184296,63.6841964722,1.96211239645
57.0585441589,8.49528598785,63.694355011,1.9597168377
57.0697517395,8.59390926361,63.7066955566,1.9589868452
57.0842056274,8.69226264954,63.7184448242,1.95825685271
57.098815918,8.79085731506,63.7269363403,1.95848003654
57.1119384766,8.88963890076,63.7355155945,1.96029760133
57.1256904602,8.98811721802,63.7463684082,1.96220401895
57.1398124695,9.08655166626,63.7568817139,1.96262033631
57.1502418518,9.18583011627,63.7633972168,1.96282740622
57.1675834656,9.28423881531,63.7655639648,1.96305085491
57.189414978,9.38200569153,63.7668685913,1.96325350083
57.2068748474,9.48024654388,63.7728805542,1.9631694129
57.2230148315,9.57881546021,63.7782707214,1.96341778849
57.2396850586,9.67748451233,63.779548645,1.96366616409
57.255443573,9.7761926651,63.7802772522,1.96404903097
57.2743644714,9.87435245514,63.7850418091,1.96446587314
57.2894668579,9.97323799133,63.7825889587,1.96664096605
57.3044929504,10.072060585,63.7839164734,1.96848502983
57.3192520142,10.1709184647,63.7858276367,1.96925983523
57.3299713135,10.2703647614,63.7853240967,1.97057614422
57.3397674561,10.3698968887,63.7861022949,1.97323883113
57.3490257263,10.4694232941,63.7840385437,1.97551684371
