X,Y,Z,MaximumInscribedSphereRadius
20.3360157013,5.50955629349,55.9216003418,1.91756804684
20.2436161041,5.55729913712,55.9463005066,1.92431901111
20.1622180939,5.60323476791,55.9664993286,1.92784783149
20.0798606873,5.65315580368,55.9829139709,1.9316970799
19.994726181,5.70302343369,55.9990310669,1.93584146093
19.9082012177,5.75064659119,56.0145301819,1.94065064019
19.8209190369,5.79751014709,56.0284919739,1.945752468
19.7343044281,5.84623146057,56.0400619507,1.94927692146
19.6496753693,5.89811134338,56.0522880554,1.95234615765
19.5665893555,5.95162725449,56.0678634644,1.95566085049
19.4809150696,6.00067853928,56.084022522,1.95783081404
19.3970355988,6.05303812027,56.0982971191,1.95683787917
19.3148956299,6.10790634155,56.1139068604,1.95375856814
19.2308101654,6.15840196609,56.1337547302,1.94943466788
19.1484832764,6.21176433563,56.153213501,1.93875195649
19.067029953,6.26812791824,56.167049408,1.92786059372
18.9876728058,6.32586479187,56.1861114502,1.91997289336
18.9060306549,6.37977981567,56.2069091797,1.91349163341
18.8265361786,6.43537473679,56.2313041687,1.90898693184
18.7481708527,6.4931101799,56.2543716431,1.90643386706
18.670009613,6.55188798904,56.2755241394,1.90388080228
18.5911159515,6.6104092598,56.2945213318,1.9013277375
18.5114574432,6.66842842102,56.3117141724,1.90107745767
18.434885025,6.73020792007,56.3298568726,1.90406611302
18.3620662689,6.79656124115,56.348739624,1.90857452814
18.2908592224,6.86519002914,56.3657836914,1.91308294325
18.2190761566,6.93374824524,56.378364563,1.91759135836
18.1445636749,6.99992322922,56.3838996887,1.92194299922
18.0679531097,7.06429958344,56.3831939697,1.9259177622
17.9939098358,7.13163518906,56.3819618225,1.93349514473
17.9234466553,7.2027797699,56.3813400269,1.94147078746
17.8561916351,7.27710151672,56.3807563782,1.94944643019
17.791765213,7.35396909714,56.3796272278,1.95742207292
17.7297935486,7.43274927139,56.3773727417,1.96539771565
17.669883728,7.51282978058,56.3734436035,1.9737032087
17.6114902496,7.59380245209,56.3676261902,1.9821575448
17.5541744232,7.67545080185,56.3596343994,1.99165013643
17.5009651184,7.75891876221,56.3454055786,2.00061466819
17.4491424561,7.844186306,56.3357925415,2.01003775862
17.4021492004,7.9317407608,56.3252601624,2.01946084905
17.3625278473,8.02147102356,56.3059844971,2.02421441195
17.3198719025,8.10933017731,56.2840690613,2.02856862376
17.2826080322,8.19889450073,56.2597885132,2.03166526262
17.2446193695,8.28789710999,56.2345161438,2.03563911466
17.2126636505,8.37765407562,56.204158783,2.03667377573
17.1833515167,8.46852493286,56.1743087769,2.03771720588
17.1543197632,8.55789756775,56.140045166,2.04100832364
17.124917984,8.64818191528,56.1086044312,2.04563214566
17.0959377289,8.74038696289,56.0825958252,2.05067308909
17.0694198608,8.83392906189,56.0590667725,2.0561096072
17.046836853,8.927734375,56.0326538086,2.06150218395
17.0215167999,9.02045154572,56.0048828125,2.06550830956
17.0003585815,9.11413288116,55.9769554138,2.06675934693
16.984746933,9.20752048492,55.9445762634,2.06605187044
16.9656028748,9.2963809967,55.9028892517,2.06082207371
16.9529800415,9.38728141785,55.8631210327,2.05458899946
16.9370422363,9.47800254822,55.824180603,2.04901409391
16.9216995239,9.56601905823,55.7792396545,2.04328825931
16.9071788788,9.65690326691,55.7399673462,2.03703344748
16.8884925842,9.74842166901,55.7040328979,2.03054756146
16.8720989227,9.83905315399,55.665096283,2.02315625339
16.8535327911,9.92984294891,55.6275520325,2.01776573321
16.8379516602,10.0204772949,55.5886421204,2.01136867207
16.8227519989,10.1105585098,55.5473861694,2.00582935229
16.812669754,10.2021350861,55.5091400146,2.00076573908
16.8149471283,10.2937927246,55.4689788818,1.99491541857
16.8175106049,10.3834581375,55.4247970581,1.99013062368
16.8210487366,10.4732465744,55.3809928894,1.98600240484
16.8262023926,10.5657234192,55.3431053162,1.98179360182
16.834936142,10.6567668915,55.3026351929,1.97867901228
16.8443546295,10.7465791702,55.2595405579,1.97940397965
16.8529586792,10.8358440399,55.2151565552,1.98428490919
16.8623886108,10.9241771698,55.1691741943,1.98916583873
16.8744602203,11.0111703873,55.1212615967,1.99439582196
16.8913860321,11.1001653671,55.0788116455,2.00270151147
16.9065818787,11.1878042221,55.0328216553,2.01208145088
16.922454834,11.2741041183,54.9845848083,2.02146139029
16.9419174194,11.3594560623,54.936340332,2.03084132969
16.9669704437,11.4441957474,54.8897438049,2.04057829053
16.9958286285,11.5284337997,54.8440933228,2.05031950598
17.0257301331,11.6122198105,54.7980728149,2.06006072143
17.0547065735,11.6955385208,54.7507209778,2.0726774158
17.0852298737,11.7779884338,54.7030715942,2.08564673217
17.120721817,11.8588838577,54.6561927795,2.09884702089
17.158449173,11.9376363754,54.607219696,2.11230210957
17.1934242249,12.0159854889,54.555809021,2.12575719826
17.2234516144,12.0951766968,54.5026130676,2.13970895783
17.2590312958,12.172750473,54.4502220154,2.15366042513
17.3001766205,12.2470760345,54.3969535828,2.16761189242
17.3444004059,12.3167133331,54.3400840759,2.18072881506
17.3904743195,12.3808345795,54.2785072327,2.18929627235
17.4403648376,12.4401683807,54.2151947021,2.19786372965
17.4961357117,12.495672226,54.1534347534,2.20546587694
17.5564289093,12.5482254028,54.0935058594,2.20714673095
17.6184692383,12.5988464355,54.0335350037,2.20783811329
17.6800441742,12.6483488083,53.9716911316,2.20880668528
17.7442741394,12.6940603256,53.9098815918,2.20992211597
17.8178138733,12.7310028076,53.8524894714,2.21053360029
17.8973407745,12.7611093521,53.7979011536,2.20837439512
17.9563503265,12.8024559021,53.7304229736,2.21175830492
18.0135002136,12.8437547684,53.6598854065,2.21688649846
18.0848903656,12.8762454987,53.5969467163,2.22081149911
18.1597118378,12.9091949463,53.5382232666,2.22490205612
18.2319965363,12.9433059692,53.4780769348,2.23074901445
18.3033905029,12.9748382568,53.4154052734,2.23659597278
18.3754253387,13.0036449432,53.352180481,2.24244293111
18.4493751526,13.0297584534,53.2901382446,2.25075866372
18.5244312286,13.0547208786,53.2289428711,2.25984851776
18.5987358093,13.0808324814,53.167224884,2.26893837181
18.6728687286,13.1083097458,53.1059608459,2.2794413682
18.7544975281,13.129986763,53.0524559021,2.28378933174
18.8383808136,13.1450605392,52.9998207092,2.28732769165
18.9232406616,13.1540060043,52.9477081299,2.28925653693
19.008102417,13.1605482101,52.8951568604,2.29108260061
19.0916404724,13.1659736633,52.8403816223,2.29370392385
19.176618576,13.1671962738,52.7875518799,2.29691618567
19.2622718811,13.1637659073,52.7359237671,2.30081646211
19.3465766907,13.1602096558,52.682308197,2.30516000306
19.4292411804,13.1585702896,52.625919342,2.30920299576
19.5127010345,13.1519231796,52.5711669922,2.31362700041
19.5965576172,13.1399765015,52.5179672241,2.31656862815
19.6794071198,13.1304254532,52.4626808167,2.31998090303
19.7614479065,13.123503685,52.4057731628,2.32339317791
19.8433361053,13.1180620193,52.3485946655,2.3270001796
19.9271507263,13.1070680618,52.2950363159,2.3304979634
20.0079784393,13.0971422195,52.2369651794,2.33379307111
20.0895271301,13.0903577805,52.1795082092,2.33523815307
20.1741828918,13.0860700607,52.1263084412,2.33516471148
20.2589149475,13.0845479965,52.0730628967,2.33509126988
20.3429946899,13.0848731995,52.0190048218,2.33501050379
20.4311828613,13.0814561844,51.9715690613,2.33487134279
20.5178375244,13.0729589462,51.9221878052,2.33515871327
20.6023597717,13.0636072159,51.8694953918,2.33544608375
20.6857528687,13.0571680069,51.8146934509,2.33621534087
20.7701759338,13.0474443436,51.7619857788,2.33760848241
20.8549480438,13.0354480743,51.7101287842,2.33900162396
20.9390144348,13.0239801407,51.6570587158,2.33938570699
21.0234699249,13.0129270554,51.6046562195,2.33904989353
21.1089687347,12.9993534088,51.5545730591,2.3379206236
21.1929683685,12.9849557877,51.5022163391,2.33870641637
21.275636673,12.9733295441,51.4471206665,2.33962378047
21.3598461151,12.9583625793,51.395275116,2.34180515044
21.4444904327,12.9419698715,51.3444671631,2.34399570234
21.527299881,12.9285726547,51.2900619507,2.34667535649
21.6109027863,12.9153738022,51.2368812561,2.3502904436
21.6968612671,12.9003753662,51.1878395081,2.35396494348
21.7822608948,12.885559082,51.1377334595,2.35734391197
21.8672866821,12.871547699,51.086894989,2.3606064788
21.9539051056,12.8581895828,51.0387992859,2.36386904563
22.0429363251,12.845785141,50.9947967529,2.36772644172
22.1299781799,12.836315155,50.9465446472,2.3701002404
22.2162513733,12.821144104,50.8979721069,2.36912982914
22.298910141,12.8036317825,50.8445167542,2.36787489887
22.3791389465,12.7880506516,50.786907196,2.36353259246
22.4590854645,12.7695178986,50.7297859192,2.35662100095
22.5371494293,12.7554683685,50.6689300537,2.3453840278
22.6184234619,12.7373809814,50.6133575439,2.33375141015
22.7010288239,12.7201528549,50.5595855713,2.3280648696
22.7806301117,12.6997156143,50.5026321411,2.32165418834
22.8611392975,12.6804056168,50.4465026855,2.31546450261
22.9414386749,12.6639690399,50.3891220093,2.30968014315
23.0178165436,12.6426830292,50.3281936646,2.30672106319
23.0928707123,12.6187381744,50.2664299011,2.30490038101
23.1719741821,12.5990285873,50.2085800171,2.30368529131
23.2498188019,12.5766162872,50.1496505737,2.30488111972
23.3278236389,12.5519666672,50.0919075012,2.30607694813
23.410905838,12.5292663574,50.0413093567,2.30653452081
23.4964904785,12.504532814,49.9962310791,2.30644915278
23.5841999054,12.480550766,49.9536628723,2.30639584067
23.6674137115,12.4525709152,49.9055290222,2.306695089
23.7440261841,12.4302721024,49.8460693359,2.30460671044
23.8322906494,12.4097337723,49.8038330078,2.29602836655
23.923494339,12.3974876404,49.7640762329,2.2858269857
24.012298584,12.3848781586,49.7204666138,2.27549161217
