X,Y,Z,MaximumInscribedSphereRadius
29.7832393646,5.7377781868,57.4257202148,2.10040124515
29.7491264343,5.82909870148,57.4444847107,2.09994079385
29.7117900848,5.92126178741,57.4596672058,2.0994070415
29.6765365601,6.01329851151,57.4779853821,2.09836248426
29.6402816772,6.10516214371,57.4937324524,2.0987389165
29.6040115356,6.19695615768,57.5100860596,2.09904235695
29.5689601898,6.28947353363,57.5249404907,2.09729863016
29.532081604,6.38059902191,57.5433502197,2.0947425636
29.4934062958,6.47176408768,57.5577011108,2.09194288391
29.4571933746,6.56333208084,57.5751266479,2.08855597565
29.4215946198,6.65570020676,57.5898208618,2.08567841022
29.3864440918,6.7480340004,57.6051673889,2.08383400081
29.3526859283,6.84098625183,57.6202278137,2.08058785922
29.318239212,6.93345880508,57.636631012,2.07825614959
29.2847080231,7.02606964111,57.654712677,2.07645905705
29.2493667603,7.11859130859,57.6682281494,2.07450927755
29.2138957977,7.2107796669,57.6838912964,2.0713397421
29.1801986694,7.30336523056,57.7018165588,2.0683629751
29.1431484222,7.39515733719,57.7158164978,2.06529177483
29.1076183319,7.48686170578,57.7344703674,2.06220770338
29.0726089478,7.57920265198,57.7504463196,2.05999307347
29.0369911194,7.67076444626,57.7698478699,2.05896627861
29.0025939941,7.76296710968,57.7877807617,2.05793948375
28.9702320099,7.85671710968,57.8004493713,2.05703860214
28.9332332611,7.94833612442,57.8162460327,2.05478426752
28.8940372467,8.03852176666,57.8344802856,2.05264614153
28.8597488403,8.13071918488,57.8526725769,2.04975193669
28.8220882416,8.22180747986,57.8698272705,2.04789466322
28.782535553,8.31256103516,57.884552002,2.04626289447
28.7462081909,8.4042673111,57.9010429382,2.04493671245
28.7076644897,8.49519634247,57.9169616699,2.04388914276
28.6694126129,8.58673286438,57.9298400879,2.04370909249
28.6319046021,8.67847633362,57.9434089661,2.04357875597
28.5931491852,8.76991462708,57.9552001953,2.04360248912
28.5544013977,8.8614730835,57.9666481018,2.04395027356
28.517457962,8.95364284515,57.9794921875,2.04558816477
28.4812259674,9.0464220047,57.9881362915,2.04722639751
28.4446582794,9.13925170898,57.9946365356,2.0486078279
28.4089012146,9.23192119598,58.007106781,2.04984621789
28.3759288788,9.32583045959,58.0173225403,2.05219189915
28.3423919678,9.41984081268,58.0240364075,2.05484691787
28.3070983887,9.51320552826,58.0307350159,2.05808293123
28.2741680145,9.60698986053,58.0424079895,2.0619439797
28.2407054901,9.70090579987,58.0496864319,2.06508083425
28.2089138031,9.79569339752,58.0533981323,2.06802318651
28.1804733276,9.89143276215,58.0597000122,2.07102761377
28.1528491974,9.98723888397,58.0679779053,2.07466740259
28.1230812073,10.0827493668,58.0701522827,2.07836725994
28.0989513397,10.179731369,58.0730857849,2.08034851585
28.0747737885,10.2767534256,58.0733413696,2.08082878226
28.0484676361,10.3733158112,58.071018219,2.08130904866
28.022901535,10.4700565338,58.0707244873,2.08139787245
27.9997997284,10.5673742294,58.0717697144,2.08097835282
27.9792499542,10.6652812958,58.0712852478,2.07975732175
27.9597492218,10.7633800507,58.0691337585,2.07848850129
27.94024086,10.8614425659,58.0659561157,2.07713539736
27.9230690002,10.9599275589,58.0628242493,2.07635930592
27.9040985107,11.0580692291,58.0593566895,2.07363393471
27.8857192993,11.1562986374,58.0547485352,2.07224572539
27.8691921234,11.254781723,58.0484924316,2.07111523524
27.8531608582,11.3534660339,58.0455055237,2.06977597602
27.8373680115,11.4521503448,58.0411682129,2.06842497689
27.8220996857,11.5508937836,58.0359954834,2.06702706083
27.8073539734,11.6497106552,58.0309028625,2.06443063954
27.7922210693,11.7483081818,58.0235137939,2.0640797249
27.7765808105,11.8467521667,58.0149726868,2.06473572194
27.7609462738,11.9453468323,58.0086631775,2.0660756123
27.7461719513,12.044095993,58.0024490356,2.06798032879
27.7371101379,12.1433362961,57.9939155579,2.06980177737
27.7250576019,12.2423505783,57.9859161377,2.07196225874
27.708398819,12.340713501,57.9779205322,2.07466191853
27.6928653717,12.4390888214,57.9688568115,2.07904851184
27.6803874969,12.5378084183,57.9582366943,2.08339186461
27.6668720245,12.636218071,57.9463157654,2.08789138115
27.6512050629,12.7341365814,57.932926178,2.09423094617
27.6382083893,12.832277298,57.9178695679,2.0998947472
27.6294746399,12.9307823181,57.9024963379,2.10555854823
27.6254119873,13.0296840668,57.8880615234,2.11138920774
27.6175441742,13.1282091141,57.8724441528,2.11767434298
27.6059494019,13.225725174,57.8532867432,2.12386426386
27.5942687988,13.3220129013,57.8286552429,2.13161381657
27.5869789124,13.4192037582,57.8063354492,2.13729427577
27.5818023682,13.5151138306,57.7782020569,2.14050743117
27.5731105804,13.6101837158,57.7480659485,2.14436096325
27.5619564056,13.7043800354,57.7164077759,2.14833416506
27.5505237579,13.7989206314,57.6858024597,2.15015849148
27.5290679932,13.8920631409,57.656288147,2.14846265503
27.506155014,13.9856977463,57.6296272278,2.14608666304
27.4817428589,14.0791120529,57.6024093628,2.14365885679
27.4638957977,14.1720819473,57.5704536438,2.14121877757
27.4475135803,14.262802124,57.5316810608,2.13202856588
27.4345035553,14.3547582626,57.494468689,2.1238916081
27.420381546,14.4475545883,57.4599189758,2.11778191086
27.4115982056,14.539106369,57.4205284119,2.11086529333
27.4030513763,14.6323776245,57.3855133057,2.10473452314
27.3941955566,14.7256765366,57.350528717,2.09921268262
27.3898124695,14.8183841705,57.3133010864,2.09568204554
27.3914909363,14.9103956223,57.2740859985,2.09268297253
27.3891429901,15.0019855499,57.2339248657,2.08890700279
27.38920784,15.0927648544,57.1919326782,2.08315882485
27.3951873779,15.1835575104,57.1503715515,2.07980142351
27.3994503021,15.2731389999,57.1060600281,2.07858253959
27.4004192352,15.362991333,57.0620765686,2.07784290848
27.4005870819,15.4535207748,57.0195198059,2.07841799845
27.4032306671,15.5440454483,56.9770278931,2.07758624352
27.4063129425,15.633638382,56.9326057434,2.07683968291
27.4069328308,15.7220230103,56.8857116699,2.07614114343
27.4026603699,15.8098068237,56.8377571106,2.07512468225
27.397064209,15.8974323273,56.7896766663,2.07386449792
27.3984737396,15.9851827621,56.7419700623,2.07373527074
27.4034690857,16.0729160309,56.6941337585,2.07535814875
27.3992900848,16.1600418091,56.645149231,2.07677648141
27.3969478607,16.246723175,56.595500946,2.07931885342
27.401102066,16.3330783844,56.545085907,2.08234096229
27.4065189362,16.4188594818,56.4936561584,2.08530178857
27.4105319977,16.5032997131,56.4401931763,2.0878305889
27.4172801971,16.5860347748,56.3843536377,2.09154146904
27.4276103973,16.6701068878,56.3310699463,2.096063243
27.4374866486,16.7505569458,56.2726249695,2.09895386924
27.444732666,16.830242157,56.2122192383,2.10281738723
27.4542694092,16.9112472534,56.1541900635,2.10784886401
27.4746055603,16.9901447296,56.0964851379,2.11244762635
27.4989871979,17.06690979,56.0371284485,2.11708186693
27.5152244568,17.1437549591,55.9752502441,2.12304821039
27.5272006989,17.2210788727,55.9120559692,2.12856550955
27.5524196625,17.2942218781,55.8499755859,2.13150917689
27.595916748,17.3621673584,55.7903594971,2.13106078851
27.6390399933,17.431552887,55.7321243286,2.13134251944
27.6796951294,17.498670578,55.6700286865,2.13234182984
27.7232761383,17.5622081757,55.6062774658,2.13163757965
27.7699298859,17.6272716522,55.5462760925,2.13010253562
27.8122711182,17.6903972626,55.4812812805,2.13185321182
27.85587883,17.7503795624,55.413646698,2.13443585657
27.9061565399,17.8068313599,55.3480567932,2.13719424697
27.9663848877,17.8594512939,55.2882728577,2.13499686198
28.0318222046,17.9083614349,55.2303123474,2.1310845373
28.0951213837,17.9549369812,55.1683883667,2.13042250322
28.1549873352,18.0033035278,55.1044845581,2.13068823734
28.2125873566,18.0567970276,55.0426445007,2.13399798573
28.2690162659,18.1076011658,54.9775123596,2.13853433132
28.3254947662,18.1555271149,54.9101333618,2.14307067692
28.3841285706,18.2012691498,54.8432121277,2.14968644033
28.4505004883,18.2452964783,54.7829933167,2.15195391638
28.5228404999,18.2877902985,54.7280006409,2.15422139242
28.5970973969,18.3288288116,54.6743202209,2.15810645202
28.6668491364,18.3674488068,54.6142196655,2.16211877434
28.7308368683,18.4046936035,54.5469474792,2.16293765085
28.7968559265,18.4440383911,54.4833488464,2.16547006526
28.864528656,18.482006073,54.4195861816,2.16827184723
28.941488266,18.5221977234,54.3717269897,2.17054937815
29.0037345886,18.5598297119,54.2990036011,2.17343683593
29.0607891083,18.5960693359,54.2235641479,2.18102840495
29.1235942841,18.6340427399,54.1571044922,2.18861997396
29.1942863464,18.6684932709,54.0956192017,2.19137715453
29.2590675354,18.69298172,54.0232620239,2.1922808211
29.3212852478,18.7206954956,53.9498901367,2.19237485125
29.3984107971,18.7490406036,53.8927116394,2.1935403173
29.4755363464,18.7741031647,53.8340530396,2.19522070714
29.5500278473,18.7957954407,53.770980835,2.19722211162
29.6201591492,18.8229598999,53.7049293518,2.20000290778
29.6890907288,18.8504333496,53.6377487183,2.20278370395
29.7604694366,18.8688850403,53.5702362061,2.20414078799
29.8300590515,18.8821620941,53.4997024536,2.20539688781
29.8970165253,18.8917770386,53.4258422852,2.20570168289
29.9638690948,18.9035167694,53.3523864746,2.20405839929
30.0293445587,18.9145927429,53.2775764465,2.20309006437
30.0951042175,18.9204483032,53.2023200989,2.20432481014
30.1654701233,18.93060112,53.1320838928,2.20471313605
30.2415504456,18.9377975464,53.0674858093,2.20375529049
30.318693161,18.9422359467,53.0037689209,2.20387103841
30.3952655792,18.9423160553,52.9394607544,2.20479147068
30.4711112976,18.9404125214,52.8743057251,2.20508455272
30.5455341339,18.939458847,52.8074455261,2.20474329464
30.6217536926,18.9338207245,52.7428207397,2.20462242014
30.7015018463,18.9265460968,52.6829223633,2.20557113664
30.7820835114,18.9184322357,52.6242485046,2.20687574191
30.862203598,18.9131202698,52.5645675659,2.20988967876
30.9410839081,18.9035148621,52.5037002563,2.21351232578
31.0200481415,18.8906040192,52.4435310364,2.2171349728
31.1002693176,18.8755207062,52.3856811523,2.22304057153
31.1810855865,18.8628673553,52.328125,2.23059776894
31.2632026672,18.8536891937,52.2717323303,2.23853391077
31.347618103,18.8389110565,52.220249176,2.24977051892
31.43309021,18.8220882416,52.1708488464,2.26100712707
31.5179100037,18.8083896637,52.1196174622,2.27222499555
31.6014766693,18.7923526764,52.0667762756,2.28468306858
31.685842514,18.7770175934,52.0150947571,2.29754168652
31.7728786469,18.7604866028,51.9689216614,2.31129396314
31.8623447418,18.7420711517,51.9280471802,2.32869969926
31.9495639801,18.7238235474,51.8826446533,2.34458994163
32.0353317261,18.7052688599,51.8345870972,2.3591294392
32.1244354248,18.6835803986,51.794506073,2.37392738465
32.2117729187,18.6581077576,51.7530822754,2.38855801445
32.2941246033,18.6288757324,51.7044487,2.39975991281
32.3761558533,18.5959033966,51.6575698853,2.41067601026
32.4587936401,18.5648174286,51.610584259,2.41770325119
32.5419311523,18.5318946838,51.5658111572,2.42345232443
32.6217651367,18.4976100922,51.5161933899,2.4258520118
32.7027206421,18.4656848907,51.4668922424,2.42845432598
32.784828186,18.4385566711,51.4165420532,2.4274716157
32.8698348999,18.4134368896,51.3701934814,2.42439118703
32.9518966675,18.3868808746,51.3196296692,2.41775248258
33.0323982239,18.3566265106,51.2685661316,2.40980896641
33.1126327515,18.3277931213,51.2162590027,2.40003704509
33.1928977966,18.2994327545,51.1637001038,2.39191571094
33.2755203247,18.267539978,51.1180839539,2.38410652909
33.3635597229,18.2404499054,51.0792503357,2.37408078911
33.451675415,18.2102394104,51.0429458618,2.36686749768
33.5404701233,18.1817016602,51.0064315796,2.36044077573
33.631816864,18.1554927826,50.9755439758,2.35462261801
33.7231445312,18.1258468628,50.9476928711,2.34982089868
33.8133201599,18.0990028381,50.9134941101,2.34684754438
33.9036483765,18.0736522675,50.8788261414,2.34458654065
33.9925422668,18.0455436707,50.8426361084,2.34385919076
34.0808105469,18.0144386292,50.8076324463,2.34439851634
34.1635627747,17.9887485504,50.7574806213,2.34672849086
34.2532348633,17.9649868011,50.719959259,2.34875763241
34.3449783325,17.9444103241,50.6854515076,2.3514879164
34.4288482666,17.9189815521,50.6373252869,2.3555300999
34.5142822266,17.8973026276,50.5900840759,2.36163963984
34.6002120972,17.8775062561,50.542842865,2.36870389483
34.685760498,17.856256485,50.4955177307,2.37576814982
34.7610931396,17.8359546661,50.433883667,2.38546531596
34.8439216614,17.8151283264,50.3805656433,2.39385994968
34.9406661987,17.7930774689,50.3523445129,2.40225458341
35.037071228,17.7736492157,50.3326225281,2.41114911995
35.1228141785,17.7501831055,50.2830696106,2.42101303009
35.2140197754,17.7326030731,50.2465553284,2.43095920283
35.3059082031,17.7152137756,50.2112388611,2.43766193364
35.3981132507,17.701675415,50.1748733521,2.44060639233
35.489074707,17.6875400543,50.1358146667,2.44269661086
35.5806045532,17.6755142212,50.0973396301,2.44290187714
35.6727523804,17.6596946716,50.061756134,2.4436847419
35.7638206482,17.6429634094,50.023891449,2.44407485053
