X,Y,Z,MaximumInscribedSphereRadius
17.8958015442,9.86875247955,18.5663795471,2.08325874574
17.8636283875,9.95826053619,18.6022834778,2.0805240883
17.8312282562,10.0437135696,18.6288852692,2.0781251125
17.8041877747,10.1404972076,18.6415119171,2.07660501599
17.7818031311,10.2405252457,18.6507701874,2.07514869336
17.7620391846,10.3388090134,18.6501121521,2.0755416255
17.7406845093,10.4364995956,18.6483478546,2.07602201188
17.7168369293,10.5311918259,18.6708850861,2.08007316862
17.6988582611,10.6286859512,18.6842136383,2.08379716533
17.6866416931,10.7293462753,18.6779842377,2.08597440804
17.6639232635,10.8203105927,18.709356308,2.08776516463
17.6497516632,10.920498848,18.7143573761,2.08901785457
17.6323432922,11.016535759,18.7303142548,2.09065148692
17.6160964966,11.1143245697,18.7444648743,2.09263846285
17.6051673889,11.2138700485,18.7507553101,2.09596530057
17.5869464874,11.309844017,18.7729549408,2.0977385821
17.5715656281,11.4059524536,18.7987117767,2.10018904663
17.5648078918,11.5035018921,18.8173618317,2.10059575829
17.5586833954,11.5994052887,18.8438358307,2.0936171036
17.5577964783,11.6952972412,18.8729171753,2.08545948103
17.5577316284,11.7911453247,18.9018650055,2.07718751885
17.5596370697,11.8879070282,18.9278030396,2.07021529302
17.5623378754,11.982840538,18.9595451355,2.06430865923
17.55975914,12.0775918961,18.9924621582,2.05971915679
17.5597190857,12.1739816666,19.019285202,2.05512918374
17.5694923401,12.2718353271,19.0381641388,2.05231784598
17.5752639771,12.3705558777,19.0539207458,2.05031871444
17.580499649,12.4696474075,19.0679340363,2.04836919757
17.5884342194,12.5686559677,19.0813331604,2.04705672386
17.5936489105,12.6676473618,19.0951633453,2.04574425015
17.5927391052,12.7659740448,19.1143817902,2.04591544609
17.5951652527,12.8634433746,19.1374149323,2.04660500736
17.6017894745,12.9629182816,19.146320343,2.04592234935
17.6053981781,13.0618572235,19.1609668732,2.04703453134
17.6132946014,13.1606388092,19.1759548187,2.04870103256
17.6132316589,13.2588844299,19.1950511932,2.0502085438
17.6191673279,13.3573246002,19.2127475739,2.05139290933
17.630273819,13.4552822113,19.2311000824,2.05269468978
17.6457977295,13.5538043976,19.2380008698,2.05158531183
17.664232254,13.6517715454,19.2466812134,2.05022600535
17.6831741333,13.7478160858,19.2676715851,2.04781460703
