X,Y,Z,MaximumInscribedSphereRadius
26.1611766815,4.44364118576,62.6229019165,1.70053860595
26.1768379211,4.50551605225,62.6090049744,1.70121986814
26.2054634094,4.62898254395,62.583896637,1.70190113032
26.2242832184,4.73235559464,62.5685844421,1.70318150106
26.2462348938,4.82640790939,62.5545272827,1.70602871969
26.2726802826,4.92343711853,62.5390815735,1.70898295301
26.2955741882,5.020611763,62.5283851624,1.71338675884
26.3173656464,5.11800050735,62.5201339722,1.7178262581
26.3435764313,5.21385097504,62.5079612732,1.7224417102
26.3749065399,5.30830097198,62.4973602295,1.72800504761
26.4012527466,5.40446472168,62.4890480042,1.73250250294
26.4267425537,5.5011138916,62.4830131531,1.7366251931
26.453004837,5.5975856781,62.4787559509,1.73943650683
26.4744987488,5.69515514374,62.4732131958,1.74237599687
26.4957313538,5.79278326035,62.4668807983,1.74463283872
26.5176715851,5.89022684097,62.4602584839,1.74488776814
26.5391807556,5.98723936081,62.4484977722,1.74471041562
26.5594272614,6.08455324173,62.4368057251,1.74424639436
26.5789165497,6.18169784546,62.4226570129,1.74295944399
26.6023159027,6.27816057205,62.4097900391,1.74145611528
26.6224308014,6.37509202957,62.3958778381,1.73878440952
26.6402778625,6.47189092636,62.3774681091,1.73596624457
26.6594429016,6.5687661171,62.3614768982,1.73412605059
26.6743907928,6.66593551636,62.3428344727,1.7297661883
26.6914901733,6.76189756393,62.3201141357,1.72820161407
26.7056064606,6.85860157013,62.2985420227,1.72615666173
26.7201957703,6.9557261467,62.2792739868,1.72440421181
26.7363586426,7.0524764061,62.2596435547,1.72190432025
26.7517433167,7.14816808701,62.2344551086,1.71934646549
26.7640724182,7.2454123497,62.2143821716,1.71929816779
26.7776565552,7.34259414673,62.19480896,1.72015667248
26.7895622253,7.43960571289,62.1732330322,1.72185168591
26.8004055023,7.53690624237,62.1524200439,1.72385251667
26.8172664642,7.63309383392,62.1305732727,1.72569047547
26.8289661407,7.73076295853,62.1116142273,1.72756694373
26.8361225128,7.82946777344,62.0962257385,1.7294979158
26.8451023102,7.9280796051,62.0815238953,1.73113518823
26.8580436707,8.02581882477,62.0641098022,1.73277246066
26.8694152832,8.12369441986,62.0466461182,1.73224918686
26.8791885376,8.22250461578,62.0345039368,1.73210440699
26.8911781311,8.32103824615,62.0217666626,1.73030718667
26.8997917175,8.42012786865,62.0107078552,1.72844735466
26.9093856812,8.51906585693,61.9993743896,1.72634995089
26.9167842865,8.61778640747,61.9846992493,1.72314705077
26.9213314056,8.71681976318,61.9715805054,1.71868957406
26.9258480072,8.81586742401,61.958366394,1.71364852387
26.9326114655,8.91555786133,61.9516944885,1.70966402984
26.9322052002,9.01511192322,61.9418983459,1.70625313704
26.9308357239,9.11441612244,61.9295425415,1.70392496182
26.9343032837,9.21358680725,61.9169464111,1.70144552358
26.9315719604,9.31303310394,61.9053382874,1.69878506506
26.9331645966,9.41264152527,61.8959083557,1.69660956791
26.9321403503,9.51211166382,61.8850021362,1.69579112924
26.9298877716,9.61126327515,61.8716239929,1.69647761318
26.9282894135,9.71063804626,61.8596153259,1.69719525951
26.9272689819,9.81028842926,61.8495597839,1.69797115032
26.9242420197,9.90947437286,61.8369064331,1.69874704114
26.9188899994,10.0079727173,61.8201293945,1.70154331803
26.9180259705,10.1074924469,61.8094406128,1.70175525669
26.9126338959,10.2065572739,61.7963562012,1.70463544322
26.9041805267,10.3051652908,61.7811584473,1.70710288524
26.8959636688,10.4038562775,61.7669219971,1.70852170891
26.8875465393,10.5030727386,61.7576293945,1.70967725486
26.8780918121,10.6015672684,61.7434616089,1.7098798814
26.8684234619,10.6995859146,61.7233009338,1.71008250793
26.8573684692,10.7979211807,61.7083702087,1.70895926948
26.8471183777,10.8965034485,61.6945114136,1.70831642474
26.8342494965,10.995018959,61.6823921204,1.70743307414
26.8249492645,11.093957901,61.6705741882,1.70756922969
26.8137512207,11.1928749084,61.6602592468,1.70695409001
26.7984676361,11.2914419174,61.6516189575,1.70562837288
26.7864933014,11.3901948929,61.6411170959,1.70405276111
26.7765598297,11.4891996384,61.6309585571,1.70281977323
26.7616138458,11.5879735947,61.6237564087,1.70181918348
26.7463741302,11.6867952347,61.6179046631,1.70175058072
26.7315254211,11.7856330872,61.6130561829,1.7023074553
26.7149524689,11.884264946,61.6098556519,1.70220705684
26.6993255615,11.9830951691,61.6081161499,1.70284321936
26.683637619,12.0819425583,61.6045036316,1.70480191772
26.6650886536,12.1802520752,61.6009864807,1.70702701861
26.6423988342,12.2776556015,61.600189209,1.70849637096
26.6253261566,12.3762817383,61.5961990356,1.70913575582
26.6051254272,12.4742107391,61.5904350281,1.71162125921
26.580947876,12.5712718964,61.587436676,1.71482323302
26.5577545166,12.6686134338,61.5888061523,1.71458479291
26.5338687897,12.7656497955,61.5832557678,1.71512310407
26.5082378387,12.8622112274,61.5777282715,1.71589946104
26.4817314148,12.958729744,61.5787124634,1.71788864013
26.4557285309,13.0553951263,61.5778388977,1.71775885199
26.4280185699,13.1514997482,61.5751533508,1.71785872791
26.3973731995,13.2466859818,61.5717124939,1.7191797991
26.3666057587,13.3418283463,61.5663795471,1.72024595313
26.3377418518,13.4375553131,61.5594024658,1.72019179691
26.3095188141,13.5334739685,61.555065155,1.72013764069
26.2803096771,13.6290807724,61.557723999,1.72065913261
26.2513999939,13.7248716354,61.5574913025,1.72225084763
26.2217388153,13.8204813004,61.5574035645,1.72283140202
26.1920032501,13.9160556793,61.5583152771,1.72285969912
26.1655635834,14.0124921799,61.5613861084,1.72323173532
26.1338539124,14.1072921753,61.5675544739,1.72380881091
26.1006889343,14.2014245987,61.5753974915,1.72504845371
26.0697784424,14.2959823608,61.5863876343,1.72607313483
26.0384120941,14.39057827,61.5944480896,1.72421231477
25.9972953796,14.4817533493,61.5976486206,1.71890053353
25.9553966522,14.572347641,61.602973938,1.71694388521
25.9140529633,14.6628446579,61.6147422791,1.7154292308
25.8712596893,14.7525615692,61.6241264343,1.7128315292
25.8342323303,14.8451251984,61.6374893188,1.71025977071
25.7894001007,14.9343795776,61.6437492371,1.70984338413
25.7474346161,15.0251312256,61.6483230591,1.70961864865
25.7089691162,15.1171321869,61.6567306519,1.70898749332
25.6669960022,15.2076272964,61.6651268005,1.70887184425
25.6235485077,15.2973299026,61.6744155884,1.7089428566
25.5800457001,15.3869218826,61.6842041016,1.70905580686
25.5375804901,15.4770498276,61.6935310364,1.70965190205
25.4968605042,15.5680141449,61.7027015686,1.71117070767
25.4579868317,15.6595935822,61.7138214111,1.71286573476
25.4192409515,15.7512626648,61.7242012024,1.71489677986
25.3781223297,15.8421840668,61.7314224243,1.71633405673
25.33335495,15.9308404922,61.7440605164,1.71583556965
25.2875576019,16.0194740295,61.751499176,1.71510503572
25.2456912994,16.1102466583,61.7569656372,1.71467005064
25.2021160126,16.1999816895,61.7649078369,1.71323013226
25.1587085724,16.290102005,61.7692985535,1.71326006172
25.1109371185,16.3779010773,61.7733459473,1.7123265918
25.0569496155,16.4621562958,61.7743225098,1.70856457391
25.0037498474,16.5468120575,61.7793998718,1.70754528952
24.9538784027,16.6333770752,61.7862052917,1.70653847832
24.90376091,16.719587326,61.7946128845,1.70414898324
24.8528156281,16.8056507111,61.7973899841,1.70049805745
24.7974147797,16.8890094757,61.7997550964,1.69863674064
24.7420158386,16.9722881317,61.797290802,1.6949174945
24.6848926544,17.054391861,61.7996788025,1.69071088835
24.6262397766,17.1354427338,61.7987785339,1.68639816604
24.5691604614,17.2176055908,61.797000885,1.68211817761
24.50963974,17.2980575562,61.7976531982,1.67934177506
24.45545578,17.3822345734,61.7995948792,1.67731150349
24.4029369354,17.4673786163,61.7976913452,1.67428606203
24.3506145477,17.5527191162,61.7987937927,1.67120661211
24.2970294952,17.6371707916,61.8024291992,1.67181582271
24.2452945709,17.7225933075,61.8087615967,1.67085806097
24.1953411102,17.808839798,61.8180236816,1.66968585331
24.1453666687,17.8946666718,61.8304519653,1.6685971597
24.096157074,17.9803199768,61.8463668823,1.66735605867
24.0488586426,18.0675945282,61.8597335815,1.6648646839
23.9962120056,18.1518306732,61.8730621338,1.66237330913
23.9416351318,18.2338542938,61.8906135559,1.65990670375
23.8896903992,18.3179016113,61.9065818787,1.65768769709
23.8396148682,18.4030742645,61.9225654602,1.65560657775
23.7899932861,18.4887905121,61.9369087219,1.65475242486
23.7383956909,18.5727348328,61.9543495178,1.65518879216
23.6862239838,18.6559009552,61.9742507935,1.65498684299
23.6356830597,18.7415237427,61.9847717285,1.65339274427
23.5851345062,18.8270568848,61.9971160889,1.65097530549
23.5343990326,18.912115097,62.0115737915,1.64847333942
23.4849319458,18.9988021851,62.0181503296,1.64646082218
23.4372234344,19.0864810944,62.0261421204,1.64679271069
23.3910446167,19.174331665,62.0395736694,1.64729606288
23.3450088501,19.2617282867,62.0558013916,1.64619558627
23.2951202393,19.3478488922,62.0664825439,1.64467970354
23.2434539795,19.4328079224,62.078163147,1.64476662035
23.1945056915,19.5196647644,62.0864295959,1.64499252062
23.1486282349,19.6082687378,62.0939064026,1.64556998561
23.1016674042,19.6953029633,62.1092567444,1.64718187878
23.0555286407,19.7831611633,62.1233139038,1.65139046044
23.0073509216,19.8706684113,62.127986908,1.65416365609
22.9574127197,19.9569797516,62.1367378235,1.65419253057
22.9061775208,20.0421524048,62.1497802734,1.65446568742
22.8541564941,20.1270999908,62.1589126587,1.65528096587
22.8026428223,20.2128009796,62.1641464233,1.65554755476
22.7515907288,20.2983016968,62.1738319397,1.65591258312
22.6984348297,20.3828430176,62.1800842285,1.6552747003
22.6458015442,20.4679927826,62.1835289001,1.65463681749
22.5958442688,20.5547103882,62.1874732971,1.65329690625
22.5424346924,20.6392097473,62.1905937195,1.65183368853
22.4906578064,20.7248458862,62.1950721741,1.65122389933
22.4401378632,20.8111953735,62.1953735352,1.65067472652
22.3874511719,20.8961391449,62.1933708191,1.64985735172
22.3373069763,20.9827537537,62.1968307495,1.64924733162
22.2875843048,21.0696964264,62.2010192871,1.64870688002
22.2370185852,21.1561107635,62.2035179138,1.64855432276
22.1866607666,21.2424430847,62.2077178955,1.64840176551
22.1368293762,21.3288650513,62.2150802612,1.64842609734
22.0848026276,21.41431427,62.2179756165,1.64788661227
22.0334625244,21.5002231598,62.2215270996,1.64781252217
21.9847660065,21.5875320435,62.2277069092,1.64957887762
21.937046051,21.6754341125,62.2282829285,1.65073739731
