X,Y,Z,MaximumInscribedSphereRadius
38.512588501,8.55439472198,35.1023025513,2.13801069766
38.5400848389,8.64993858337,35.113079071,2.13030614175
38.5659446716,8.74555492401,35.1266326904,2.12105782522
38.5965232849,8.84004020691,35.1383514404,2.11077005326
38.6201705933,8.93636417389,35.1515960693,2.10064627567
38.6485900879,9.03174114227,35.1612358093,2.09208475852
38.6766853333,9.12640571594,35.1771240234,2.08347570846
38.7058868408,9.22168159485,35.1858596802,2.07430989824
38.7328834534,9.31695365906,35.1997680664,2.06435526056
38.7624397278,9.4120759964,35.2087631226,2.05545036844
38.7916374207,9.50675964355,35.2220535278,2.04657267446
38.8174057007,9.60261058807,35.2346000671,2.03857007326
38.8471565247,9.69715881348,35.2478256226,2.03299754055
38.8784675598,9.79148578644,35.2587127686,2.02669399399
38.9070587158,9.88621425629,35.2729301453,2.02274695174
38.9379768372,9.97961139679,35.2914352417,2.01891646484
38.9710922241,10.072388649,35.3093299866,2.01504540697
39.0024986267,10.1660680771,35.324962616,2.01132896572
39.0332069397,10.2591896057,35.344669342,2.00828720135
39.0607032776,10.3523931503,35.3683776855,2.00544095619
39.0859985352,10.4469146729,35.3890533447,2.00107291431
39.1150665283,10.5395231247,35.4133262634,1.99731683302
39.1419944763,10.6312055588,35.4427986145,1.99503036709
39.1654243469,10.7238550186,35.4724006653,1.99345386143
39.1950378418,10.8152723312,35.5001487732,1.99279915602
39.224281311,10.9058589935,35.5308456421,1.99444473683
39.2496681213,10.9965620041,35.5646705627,1.99704437802
39.2724761963,11.0881519318,35.5979423523,1.99964401921
39.2946624756,11.1807823181,35.6285133362,2.0041898932
39.3187446594,11.2725896835,35.6603889465,2.01050377603
39.3420028687,11.3632965088,35.6956329346,2.01681765886
39.3613128662,11.4530925751,35.7351989746,2.02358226088
39.3814315796,11.5434932709,35.7729034424,2.03102732616
39.4032173157,11.6351957321,35.8065719604,2.03859887915
39.4213447571,11.7277498245,35.8399467468,2.04663446523
39.4353561401,11.8200016022,35.8760986328,2.05626567655
39.4524726868,11.9106178284,35.9147453308,2.06538474758
39.4657783508,12.0038042068,35.9487991333,2.07406095944
39.4763832092,12.0970869064,35.9836349487,2.08273717129
39.4868431091,12.1876964569,36.0246353149,2.09188008187
39.4932403564,12.2807197571,36.0608940125,2.09840329331
39.4960746765,12.3731212616,36.0991706848,2.10486372335
39.4968757629,12.4656019211,36.1372337341,2.1112395638
39.4971427917,12.559091568,36.1727828979,2.11728855599
39.498298645,12.6502552032,36.2140159607,2.12439220281
39.4987068176,12.7417707443,36.2543869019,2.13149584964
39.5005378723,12.8343439102,36.2921524048,2.13974188082
39.5064277649,12.925658226,36.3328056335,2.14838245851
39.507522583,13.0179786682,36.3710899353,2.15713834741
39.5063705444,13.1108226776,36.4083023071,2.16840562394
39.5089302063,13.2025995255,36.4481582642,2.18022351066
39.5134239197,13.2930803299,36.4907798767,2.19204139739
39.5179748535,13.3827905655,36.5348052979,2.20383331363
39.521194458,13.4746856689,36.5743675232,2.2175899565
39.5237464905,13.5662899017,36.6145362854,2.23134659937
39.5260009766,13.6547203064,36.6613731384,2.24620039513
39.5287742615,13.7441129684,36.7063713074,2.26227629805
39.5376052856,13.837647438,36.7405433655,2.2748490462
39.5461540222,13.9312982559,36.7745513916,2.28256535395
39.5510749817,14.0264339447,36.8051872253,2.29086415622
39.5583953857,14.1203212738,36.838760376,2.29962899562
39.5657920837,14.2140855789,36.8727989197,2.30942141548
39.5754013062,14.3077983856,36.9064331055,2.31922891891
39.5896377563,14.3997802734,36.9431724548,2.32891337646
39.5966682434,14.4903974533,36.9848823547,2.33739881671
39.6122703552,14.5801439285,37.0264320374,2.34466036643
39.6231384277,14.6680774689,37.071308136,2.35124566013
39.6359558105,14.7548332214,37.1188201904,2.35355713244
39.6481323242,14.8390808105,37.1708717346,2.35679689347
39.6543159485,14.9166536331,37.2343635559,2.36046433365
39.6707611084,14.9951934814,37.2943305969,2.3633840982
39.6908493042,15.0752258301,37.3501243591,2.35852060326
39.7096710205,15.1425495148,37.4228668213,2.34562214246
39.7302894592,15.210272789,37.4932823181,2.33320706413
39.7672309875,15.2724018097,37.5621566772,2.31343016443
39.8155097961,15.335767746,37.6227111816,2.28611889218
